"FA番号","都道府県名","CATFlag","ILLflag","CopyService","LoanService","FAXservice","ILLStatus","館名","住所"
"FA000106","13","A","A","N","N","N","N","東京工業大学 附属図書館","東京都目黒区大岡山2-12-1 (L-1)"
"FA000117","14","A","A","N","N","N","N","東京工業大学 附属図書館 すずかけ台分館","神奈川県横浜市緑区長津田町4259-S3棟"
"FA000139","27","A","A","N","N","N","N","大阪市立大学 経済研究所","大阪市住吉区杉本3-3-138"
"FA00014X","27","A","A","N","N","N","N","大阪市立大学 都市研究プラザ","大阪市住吉区杉本3-3-138"
"FA000150","14","A","A","N","N","N","N","明治学院大学 横浜校舎 図書館","神奈川県横浜市戸塚区上倉田町1518"
"FA001007","01","A","A","A","A","N","N","北海道大学 附属図書館","札幌市北区北8条西5丁目"
"FA001018","01","A","A","A","N","N","N","北海道大学 附属図書館 北図書館","札幌市北区北17条西8丁目"
"FA001029","01","A","A","A","A","A","A","北海道大学 文学研究科・文学部図書室","札幌市北区北10条西7丁目"
"FA001040","01","A","A","N","N","N","N","北海道大学 大学院教育学研究科・教育学部図書室","札幌市北区北11条西7丁目 北海道大学 大学院教育学院・教育学研究院・教育学部図書室"
"FA001051","01","A","A","N","N","N","N","北海道大学 経済学研究科・経済学部図書室","北海道札幌市北区北9条西7丁目 北海道大学 大学院経済学研究院・経済学部図書室"
"FA001062","01","A","A","A","A","N","A","北海道大学 大学院理学研究科・理学部図書室","札幌市北区北10条西8丁目"
"FA001073","01","A","A","A","A","N","A","北海道大学 医学研究科・医学部図書館","札幌市北区北15条西7丁目"
"FA001084","01","A","A","A","A","N","A","北海道大学 大学院歯学研究院・大学院歯学院・歯学部図書室","札幌市北区北13条西7丁目"
"FA001095","01","A","A","A","A","N","A","北海道大学 薬学部図書室","札幌市北区北12条西6丁目"
"FA001109","01","A","A","A","A","N","A","北海道大学 大学院工学研究科・工学部図書室","札幌市北区北13条西8丁目"
"FA001120","01","A","A","A","A","A","A","北海道大学 大学院農学研究科図書室","札幌市北区北9条西9丁目"
"FA001153","01","A","A","A","A","N","N","北海道大学 大学院獣医学研究院図書室","札幌市北区北18条西9丁目"
"FA001164","01","A","A","A","A","N","A","北海道大学 大学院水産科学研究科・水産学部図書室","北海道函館市港町3-1-1"
"FA001175","01","A","A","A","A","N","N","北海道大学 低温科学研究所 図書室","札幌市北区北19条西8丁目 北海道大学 低温科学研究所 図書室"
"FA001186","01","A","A","N","N","N","N","北海道大学 電子科学研究所 図書室","札幌市北区北21条西10丁目 北キャンパス合同事務部 北キャンパス図書室(電子研担当)"
"FA001197","01","A","A","N","N","N","N","北海道大学 北キャンパス合同事務部","札幌市北区北21条西10丁目"
"FA001200","01","A","A","C","C","N","A","北海道大学 遺伝子病制御研究所 図書室","札幌市北区北15条西7丁目"
"FA001211","01","A","A","A","A","A","A","北海道大学 大学院地球環境科学研究院 図書室","札幌市北区北10条西5丁目"
"FA001222","01","A","A","A","A","N","A","北海道大学 大学院保健科学研究院","札幌市北区北12条西5丁目"
"FA001244","01","A","A","A","A","N","A","北海道教育大学 附属図書館","札幌市北区あいの里5条3丁目1番6号"
"FA001255","01","A","A","A","A","N","A","北海道教育大学 附属図書館 函館館","函館市八幡町1-2"
